transaction_id,date,description,amount,transaction_type,category,merchant
1,2025-01-03,broadband internet bill 966,966.3,expense,Bills,broadband
2,2025-01-03,auto rickshaw fare 1859,1859.45,expense,Transport,auto
3,2025-01-04,car service 1072,1072.15,expense,Transport,car
4,2025-01-04,zomato lunch order 324,324.87,expense,Food,zomato
5,2025-01-04,street food vendor 302,302.7,expense,Food,street
6,2025-01-04,college tuition fee 6903,6903.37,expense,Education,college
7,2025-01-05,dominos pizza 861,861.92,expense,Food,dominos
8,2025-01-05,health insurance premium 904,904.08,expense,Health,health
9,2025-01-06,ola cab 968,968.42,expense,Transport,ola
10,2025-01-06,dental checkup 3078,3078.07,expense,Health,dental
11,2025-01-08,parking fee 224,224.64,expense,Transport,parking
12,2025-01-08,concert tickets 907,907.87,expense,Entertainment,concert
13,2025-01-08,uber ride 1663,1663.32,expense,Transport,uber
14,2025-01-09,metro card recharge 2170,2170.21,expense,Transport,metro
15,2025-01-09,book purchase 6965,6965.13,expense,Education,book
16,2025-01-10,footwear purchase 2971,2971.11,expense,Shopping,footwear
17,2025-01-10,movie tickets bookmyshow 952,952.39,expense,Entertainment,movie
18,2025-01-11,mobile recharge jio 2854,2854.22,expense,Bills,mobile
19,2025-01-12,rent payment 5080,5080.68,expense,Bills,rent
20,2025-01-12,starbucks coffee 1000,1000.42,expense,Food,starbucks
21,2025-01-13,book purchase 1272,1272.97,expense,Education,book
22,2025-01-13,gym membership fee 3328,3328.88,expense,Health,gym
23,2025-01-14,gift purchase 831,831.4,expense,Other,gift
24,2025-01-14,maintenance society bill 3303,3303.02,expense,Bills,maintenance
25,2025-01-14,exam registration fee 6171,6171.19,expense,Education,exam
26,2025-01-15,furniture store 4049,4049.42,expense,Shopping,furniture
27,2025-01-18,ajio order 4851,4851.99,expense,Shopping,ajio
28,2025-01-19,exam registration fee 14942,14942.98,expense,Education,exam
29,2025-01-19,netflix subscription 1052,1052.08,expense,Entertainment,netflix
30,2025-01-19,auto rickshaw fare 2215,2215.43,expense,Transport,auto
31,2025-01-20,doctor consultation fee 1573,1573.48,expense,Health,doctor
32,2025-01-20,decathlon sports gear 225,225.31,expense,Shopping,decathlon
33,2025-01-21,furniture store 7318,7318.5,expense,Shopping,furniture
34,2025-01-21,amazon prime subscription 313,313.13,expense,Entertainment,amazon
35,2025-01-22,supermarket vegetables 443,443.05,expense,Food,supermarket
36,2025-01-25,amazon prime subscription 180,180.15,expense,Entertainment,amazon
37,2025-01-25,ola cab 1837,1837.81,expense,Transport,ola
